source, target, st_distance, weight, users
113, 95, 1421.18221515776, 2, 2
113, 57, 2371.66053637358, 4, 2
113, 70, 555.462966852891, 3, 3
113, 127, 694.437094007189, 1, 1
113, 74, 690.481918690447, 2, 2
113, 150, 870.81542978817, 4, 4
113, 27, 99.6369968358909, 23, 18
113, 8, 9655.29360993868, 1, 1
113, 88, 135.803154160623, 25, 20
113, 59, 394.641456209766, 9, 9
113, 47, 2407.34489373273, 1, 1
113, 111, 856.273736877024, 3, 3
113, 33, 1374.36030328106, 3, 3
113, 137, 125.437251194877, 12, 12
113, 135, 629.073522463224, 2, 2
113, 142, 993.433053433246, 2, 2
113, 49, 12319.2617455535, 1, 1
113, 114, 12215.6666144145, 1, 1
113, 19, 556.299442952144, 4, 4
93, 95, 1288.71846853958, 1, 1
93, 88, 1632.71967245324, 1, 1
93, 111, 1562.17890048185, 1, 1
93, 33, 2256.10619202545, 1, 1
46, 58, 8033.85235125396, 1, 1
46, 133, 1511.01848643145, 1, 1
46, 49, 4491.27184914272, 1, 1
46, 96, 593.611416941967, 1, 1
46, 104, 307.154417214614, 5, 5
118, 25, 3563.55363734599, 1, 1
118, 22, 3348.238582468, 2, 1
118, 28, 947.20918499041, 1, 1
118, 110, 1029.28875404793, 1, 1
118, 115, 2770.0955624285, 1, 1
118, 3, 3266.97632336181, 1, 1
118, 42, 3001.31387959506, 1, 1
125, 78, 2699.00026699159, 1, 1
125, 25, 3104.76885187043, 1, 1
125, 5, 134.101570293364, 9, 7
125, 106, 541.095273139207, 1, 1
125, 16, 3631.09335925321, 1, 1
125, 0, 2927.64601818623, 1, 1
125, 32, 515.366108024159, 1, 1
125, 147, 341.370053428811, 1, 1
125, 43, 359.152728081857, 2, 2
125, 3, 1828.9574667748, 1, 1
125, 130, 112.210343449987, 13, 11
125, 73, 3685.86247272248, 1, 1
125, 42, 1696.85057355429, 1, 1
125, 98, 3683.21956839339, 1, 1
123, 120, 3616.12010585428, 2, 1
123, 65, 3483.95535461984, 1, 1
123, 122, 1861.04413866861, 1, 1
123, 128, 2442.00074817827, 1, 1
123, 106, 1754.24752898452, 1, 1
123, 110, 3591.45342037696, 1, 1
123, 125, 1268.13228489672, 1, 1
123, 0, 2103.79646133761, 1, 1
123, 32, 1780.35954829074, 1, 1
123, 43, 1602.94133049516, 1, 1
123, 96, 1990.14879566003, 1, 1
123, 107, 1681.92322433116, 1, 1
111, 95, 747.608606584166, 5, 4
111, 70, 405.858254029562, 4, 4
111, 129, 1388.79425704185, 2, 1
111, 127, 1516.9528586642, 1, 1
111, 74, 210.913910168048, 8, 7
111, 150, 239.558509666216, 8, 8
111, 27, 933.683626764274, 1, 1
111, 88, 898.230139256987, 4, 4
111, 59, 474.798708511054, 5, 5
111, 47, 1579.33712481942, 1, 1
111, 113, 856.273736877024, 3, 3
111, 148, 1216.14232396127, 2, 2
111, 137, 733.96216743556, 3, 3
111, 135, 395.643423913307, 3, 3
111, 142, 331.64049145516, 10, 10
111, 50, 620.979748978684, 5, 3
111, 19, 312.110476271485, 9, 8
10, 45, 142.164710304284, 2, 2
0, 18, 9504.88889384195, 2, 1
0, 8, 287.734425750845, 1, 1
0, 110, 1752.30440169228, 1, 1
0, 86, 6299.57924870955, 1, 1
0, 3, 2897.71866209946, 1, 1
0, 104, 3309.69821974215, 1, 1
0, 42, 1485.11297856412, 1, 1
0, 55, 155.95701346885, 3, 3
0, 92, 198.327621842733, 4, 4
33, 57, 1006.89932813963, 5, 5
33, 81, 11568.3406607428, 1, 1
33, 70, 1894.55584176803, 2, 2
33, 127, 805.726287991379, 1, 1
33, 74, 2056.06273899339, 2, 2
33, 27, 1299.13707572057, 1, 1
33, 12, 7425.84063983862, 2, 2
33, 88, 1345.15049976662, 1, 1
33, 59, 1761.78909708408, 3, 3
33, 113, 1374.36030328106, 2, 2
33, 93, 2256.10619202545, 1, 1
33, 137, 1496.69786149024, 2, 2
33, 66, 6599.22596723628, 1, 1
33, 19, 1926.16226246635, 3, 3
112, 148, 5200.59611583408, 1, 1
148, 95, 542.744155510357, 10, 8
148, 70, 1619.83310405413, 2, 2
148, 129, 1280.76983049821, 6, 6
148, 74, 1426.29652699946, 1, 1
148, 150, 1098.96955396598, 1, 1
148, 12, 5832.33146038068, 1, 1
148, 88, 2042.09515975542, 1, 1
148, 47, 1374.72143661686, 4, 4
148, 111, 1216.14232396127, 2, 2
148, 137, 1856.47098086765, 2, 2
148, 135, 1329.97787146737, 1, 1
148, 3, 8035.09578151238, 1, 1
148, 142, 969.798818332554, 2, 2
148, 50, 742.901527796183, 2, 2
148, 19, 1502.88097060143, 1, 1
32, 120, 5394.8476511675, 1, 1
32, 87, 402.982724947155, 1, 1
32, 22, 1965.45505163645, 3, 3
32, 5, 505.565985945371, 3, 3
32, 122, 108.025150313586, 10, 8
32, 106, 216.526295647005, 3, 3
32, 125, 515.366108024159, 3, 3
32, 147, 356.815927752378, 2, 2
32, 43, 199.026910167268, 4, 4
32, 130, 413.387069182923, 2, 2
32, 104, 3929.28703669834, 1, 1
32, 73, 3907.59710967694, 1, 1
137, 95, 1323.86751150918, 1, 1
137, 57, 2491.43130306384, 1, 1
137, 70, 432.957515905461, 2, 2
137, 129, 2088.7160289218, 2, 2
137, 127, 817.456744535477, 1, 1
137, 74, 565.149973928049, 2, 2
137, 150, 762.066923034114, 2, 2
137, 27, 201.820098269497, 8, 8
137, 88, 187.856144222295, 13, 12
137, 59, 269.226367351864, 12, 12
137, 47, 2281.90767736101, 2, 2
137, 113, 125.437251194877, 12, 12
137, 111, 733.96216743556, 2, 2
137, 33, 1496.69786149024, 5, 5
137, 142, 887.879429250175, 1, 1
137, 19, 431.404343208873, 7, 7
115, 12, 5350.17068045757, 1, 1
115, 133, 2057.0513302759, 1, 1
115, 16, 6045.66181617102, 1, 1
115, 46, 547.716828101623, 1, 1
115, 104, 562.739167264697, 2, 2
147, 58, 4445.23555433284, 1, 1
147, 91, 6105.49272251355, 1, 1
147, 22, 2016.78460426621, 1, 1
147, 5, 427.690524564058, 1, 1
147, 28, 4444.55096111939, 1, 1
147, 122, 392.438062020529, 2, 2
147, 106, 249.811152855612, 2, 2
147, 125, 341.370053428811, 2, 2
147, 32, 356.815927752378, 3, 3
147, 43, 165.136013058113, 6, 6
147, 130, 312.033149054147, 1, 1
147, 104, 3586.11542172437, 1, 1
147, 107, 2836.78907657976, 1, 1
86, 133, 2037.07043970713, 1, 1
86, 49, 1338.01107213753, 2, 2
86, 96, 3358.28804855495, 1, 1
86, 98, 5422.91648876971, 1, 1
43, 22, 1950.05664827738, 2, 2
43, 5, 393.740009778728, 1, 1
43, 122, 259.222036764955, 4, 4
43, 106, 189.759084568872, 3, 3
43, 16, 3822.02356852888, 1, 1
43, 125, 359.152728081857, 1, 1
43, 123, 1602.94133049516, 1, 1
43, 33, 8389.44016554261, 1, 1
43, 32, 199.026910167268, 6, 6
43, 147, 165.136013058113, 5, 5
43, 130, 280.013284252402, 2, 2
43, 104, 3730.95901903509, 1, 1
43, 92, 3230.78402016694, 1, 1
135, 57, 2971.74344627023, 1, 1
135, 70, 489.083867547965, 1, 1
135, 129, 1758.52715305562, 1, 1
135, 74, 403.507925897347, 2, 2
135, 150, 271.505170631611, 1, 1
135, 27, 725.543791901584, 1, 1
135, 88, 722.63921048415, 3, 3
135, 59, 390.031827596475, 1, 1
135, 47, 1945.38982749803, 1, 1
135, 113, 629.073522463224, 1, 1
135, 137, 534.794554537057, 3, 3
135, 142, 375.73354292579, 2, 2
135, 50, 600.513044259213, 1, 1
135, 19, 340.486052901932, 2, 2
3, 65, 4015.40583470938, 1, 1
3, 87, 2345.36837323334, 1, 1
3, 25, 4088.32520939296, 1, 1
3, 91, 7479.73470361973, 1, 1
3, 133, 1509.00796741681, 1, 1
3, 5, 1934.71789149043, 2, 2
3, 128, 2655.72857965128, 1, 1
3, 110, 4121.4396813587, 1, 1
3, 46, 1845.4503295794, 2, 2
3, 118, 3266.97632336181, 1, 1
3, 115, 2254.6381999923, 1, 1
3, 96, 1294.23852371985, 1, 1
3, 42, 2544.38428672362, 1, 1
3, 107, 940.464435065526, 4, 4
3, 20, 1602.50362240975, 1, 1
3, 92, 2741.96538810938, 1, 1
3, 98, 2623.6271064257, 2, 2
142, 95, 450.402008774873, 3, 3
142, 57, 3347.20839869147, 1, 1
142, 70, 685.938293894729, 2, 2
142, 74, 508.742522364711, 3, 3
142, 58, 3350.10219017065, 1, 1
142, 150, 131.49140440674, 10, 10
142, 27, 1086.31732879204, 3, 2
142, 88, 1072.65350720195, 3, 2
142, 59, 679.897088214803, 4, 4
142, 47, 1634.30702662706, 1, 1
142, 113, 993.433053433246, 2, 2
142, 111, 331.64049145516, 2, 2
142, 148, 969.798818332554, 4, 3
142, 135, 375.73354292579, 2, 2
142, 50, 294.376374516215, 2, 2
142, 19, 550.423512075671, 3, 3
50, 95, 200.727289000092, 10, 7
50, 70, 977.554253933852, 1, 1
50, 129, 1502.34830218385, 1, 1
50, 74, 803.058610581336, 1, 1
50, 150, 419.092967498969, 1, 1
50, 27, 1325.56619523248, 3, 3
50, 12, 6080.47548255273, 1, 1
50, 22, 6926.52372008277, 1, 1
50, 88, 1322.66388789305, 2, 2
50, 59, 954.585388200901, 1, 1
50, 113, 1228.29956437933, 2, 2
50, 111, 620.979748978684, 4, 2
50, 148, 742.901527796183, 1, 1
50, 142, 294.376374516215, 3, 3
50, 19, 837.680905225731, 2, 2
49, 102, 192.010619915484, 17, 15
49, 9, 6939.09665666933, 1, 1
49, 149, 632.408574978338, 2, 2
49, 5, 6066.69398018005, 1, 1
49, 128, 6820.60514570622, 1, 1
49, 86, 1338.01107213753, 4, 3
49, 1, 6848.90616214067, 1, 1
49, 114, 268.093640905011, 6, 6
49, 98, 6745.40008465337, 1, 1
130, 25, 3102.92249508479, 1, 1
130, 5, 117.995904394844, 14, 11
130, 106, 469.161610891839, 1, 1
130, 16, 3615.9257940972, 1, 1
130, 48, 2976.25567864071, 1, 1
130, 125, 112.210343449987, 14, 12
130, 0, 2995.56501428868, 1, 1
130, 147, 312.033149054147, 1, 1
130, 43, 280.013284252402, 4, 3
130, 73, 3687.58448308616, 2, 2
130, 42, 1729.08884324495, 1, 1
130, 98, 3785.44782746786, 1, 1
96, 77, 1881.28914506858, 1, 1
96, 12, 4559.46888405493, 1, 1
96, 3, 1294.23852371985, 1, 1
96, 104, 400.409569104217, 3, 3
96, 107, 353.832339170098, 7, 7
104, 41, 1187.7609709746, 1, 1
104, 65, 3713.68311888179, 1, 1
104, 87, 3975.63267110343, 2, 2
104, 27, 11337.8124399633, 1, 1
104, 133, 1635.06566184224, 1, 1
104, 22, 4010.81480705643, 1, 1
104, 88, 11372.5408955919, 1, 1
104, 128, 2103.72650155211, 1, 1
104, 113, 11242.8945354626, 1, 1
104, 46, 307.154417214614, 4, 4
104, 147, 3586.11542172437, 1, 1
104, 43, 3730.95901903509, 1, 1
104, 3, 1694.43979799326, 3, 3
104, 96, 400.409569104217, 1, 1
104, 1, 2160.80523655392, 1, 1
104, 73, 5402.85188035301, 1, 1
104, 79, 2707.16516754538, 2, 1
104, 98, 2022.00463680784, 2, 2
1, 120, 370.507631969074, 3, 3
1, 9, 93.3929267591999, 8, 6
1, 12, 5117.77723288058, 1, 1
1, 28, 357.531064304387, 3, 3
1, 118, 1192.16670222685, 1, 1
1, 86, 5571.29734901738, 1, 1
66, 18, 292.555374420425, 15, 13
66, 151, 2204.77516327966, 1, 1
66, 78, 7801.31961021057, 1, 1
66, 33, 6599.22596723628, 2, 1
66, 86, 15054.5240138699, 1, 1
66, 42, 9275.15433851076, 1, 1
73, 95, 7474.69813086372, 1, 1
73, 87, 3507.52443040236, 1, 1
73, 91, 9361.12062640593, 1, 1
73, 8, 2147.39970188261, 2, 2
73, 88, 8222.06846818585, 1, 1
73, 122, 4006.84309035415, 1, 1
73, 128, 3888.44209607846, 4, 4
73, 47, 8728.41865692059, 1, 1
73, 0, 2186.22021979335, 1, 1
73, 32, 3907.59710967694, 1, 1
73, 3, 4573.24410216525, 1, 1
73, 96, 5178.29277141818, 1, 1
73, 20, 3130.13342005069, 1, 1
73, 98, 3974.84611139829, 3, 3
42, 81, 2909.44725788525, 1, 1
42, 65, 3140.88057604586, 1, 1
42, 149, 7773.32830654771, 1, 1
42, 5, 1611.0947630216, 1, 1
42, 128, 2857.74928071877, 1, 1
42, 110, 3235.2010073707, 1, 1
42, 118, 3001.31387959506, 1, 1
42, 125, 1696.85057355429, 1, 1
42, 0, 1485.11297856412, 1, 1
42, 86, 5975.92531016553, 1, 1
42, 3, 2544.38428672362, 1, 1
42, 142, 7558.55381231354, 1, 1
42, 50, 7275.7258707951, 1, 1
42, 130, 1729.08884324495, 1, 1
42, 55, 1455.45392169951, 1, 1
114, 102, 81.2897228615878, 14, 13
114, 149, 898.427903048458, 1, 1
114, 5, 5854.23023273869, 1, 1
114, 49, 268.093640905011, 8, 8
79, 120, 386.373277007009, 1, 1
79, 107, 3166.32634321241, 3, 1
79, 98, 1426.13196689772, 1, 1
107, 65, 3771.18208964845, 1, 1
107, 87, 3245.52856102992, 1, 1
107, 22, 3428.7406383979, 2, 2
107, 122, 3229.21168462357, 1, 1
107, 128, 2223.38399065506, 1, 1
107, 106, 3070.3903837844, 1, 1
107, 110, 3870.17336836743, 1, 1
107, 118, 2898.95420475828, 1, 1
107, 125, 2737.47119617986, 1, 1
107, 32, 3182.61204928854, 1, 1
107, 147, 2836.78907657976, 1, 1
107, 3, 940.464435065526, 2, 2
107, 96, 353.832339170098, 7, 6
107, 79, 3166.32634321241, 1, 1
107, 20, 2340.61002507103, 1, 1
107, 92, 2844.03432918373, 1, 1
107, 98, 2163.02914159918, 1, 1
20, 12, 1950.80702533858, 2, 2
20, 28, 3383.92814135016, 1, 1
20, 122, 1487.76861494595, 1, 1
20, 106, 1437.85965065252, 1, 1
20, 46, 3241.83911868003, 1, 1
20, 32, 1388.03019588482, 1, 1
20, 43, 1254.79731804161, 1, 1
20, 3, 1602.50362240975, 1, 1
20, 130, 980.703685035318, 1, 1
20, 42, 1038.30896936313, 2, 2
55, 18, 9630.19782321555, 2, 1
55, 78, 2503.80281234846, 1, 1
55, 0, 155.95701346885, 4, 4
55, 86, 6144.3184899041, 1, 1
55, 92, 80.1029180118033, 5, 5
19, 95, 1000.11314120568, 2, 2
19, 57, 2916.31482108588, 1, 1
19, 70, 151.132572761601, 21, 15
19, 129, 1660.6643689538, 2, 2
19, 74, 137.024657083959, 17, 15
19, 58, 3740.7457505068, 1, 1
19, 150, 420.056789177319, 4, 4
19, 27, 627.085764181222, 6, 6
19, 88, 587.520830138754, 8, 8
19, 59, 164.618675238038, 30, 27
19, 47, 1853.51033270061, 1, 1
19, 113, 556.299442952144, 9, 9
19, 111, 312.110476271485, 7, 6
19, 0, 9430.11556831942, 1, 1
19, 33, 1926.16226246635, 2, 2
19, 112, 5168.04401037069, 1, 1
19, 148, 1502.88097060143, 1, 1
19, 137, 431.404343208873, 5, 5
19, 43, 7300.25897952784, 1, 1
19, 135, 340.486052901932, 2, 2
19, 142, 550.423512075671, 6, 6
19, 50, 837.680905225731, 1, 1
92, 18, 9697.00261420075, 2, 1
92, 95, 8705.05172239271, 1, 1
92, 81, 1466.99374626956, 1, 1
92, 87, 3063.95994841177, 1, 1
92, 5, 2843.40112239435, 2, 2
92, 0, 198.327621842733, 4, 4
92, 86, 6124.56844460768, 1, 1
92, 43, 3230.78402016694, 1, 1
92, 130, 2951.60797459713, 1, 1
92, 104, 3112.6205206889, 1, 1
92, 55, 80.1029180118033, 4, 4
98, 81, 513.54323573662, 1, 1
98, 65, 1693.91073380227, 1, 1
98, 87, 4045.09777154756, 2, 2
98, 22, 3278.88826729405, 3, 3
98, 5, 3706.30135731181, 1, 1
98, 128, 94.5901234253837, 12, 12
98, 16, 4398.94422132213, 1, 1
98, 59, 10974.5035780145, 1, 1
98, 110, 1780.89642195371, 1, 1
98, 118, 758.718293951944, 1, 1
98, 0, 1805.23339219601, 1, 1
98, 112, 8084.61030936321, 1, 1
98, 115, 2044.79915418987, 1, 1
98, 96, 2067.96194525054, 2, 1
98, 104, 2022.00463680784, 1, 1
98, 73, 3974.84611139829, 1, 1
98, 42, 2911.72125816962, 3, 3
98, 92, 1629.03694064811, 1, 1
