id, inweight_as_trajectories, outweight_as_trajectories, id, inweight_as_trajectories, outweight_as_trajectories
66, 10, 13, 18, 11, 21
66, 10, 13, 86, 4, 3
66, 10, 13, 33, 28, 25
135, 17, 11, 129, 42, 38
135, 17, 11, 70, 81, 94
135, 17, 11, 142, 56, 44
135, 17, 11, 150, 49, 44
135, 17, 11, 50, 33, 27
135, 17, 11, 59, 94, 101
135, 17, 11, 19, 111, 134
135, 17, 11, 137, 54, 63
135, 17, 11, 88, 104, 102
135, 17, 11, 74, 75, 78
48, 8, 10, 25, 13, 18
48, 8, 10, 55, 15, 9
48, 8, 10, 92, 23, 12
48, 8, 10, 78, 4, 4
48, 8, 10, 59, 94, 101
48, 8, 10, 0, 22, 13
93, 3, 3, 111, 56, 62
93, 3, 3, 33, 28, 25
93, 3, 3, 88, 104, 102
8, 7, 19, 25, 13, 18
8, 7, 19, 128, 25, 20
8, 7, 19, 55, 15, 9
8, 7, 19, 22, 19, 14
8, 7, 19, 70, 81, 94
8, 7, 19, 104, 16, 16
8, 7, 19, 81, 7, 3
8, 7, 19, 92, 23, 12
8, 7, 19, 42, 9, 8
8, 7, 19, 59, 94, 101
8, 7, 19, 98, 25, 27
8, 7, 19, 19, 111, 134
8, 7, 19, 49, 32, 33
8, 7, 19, 45, 3, 3
8, 7, 19, 118, 5, 4
113, 97, 102, 135, 17, 11
113, 97, 102, 8, 7, 19
113, 97, 102, 70, 81, 94
113, 97, 102, 142, 56, 44
113, 97, 102, 150, 49, 44
113, 97, 102, 27, 87, 85
113, 97, 102, 111, 56, 62
113, 97, 102, 95, 60, 68
113, 97, 102, 120, 9, 8
113, 97, 102, 33, 28, 25
113, 97, 102, 59, 94, 101
113, 97, 102, 19, 111, 134
113, 97, 102, 137, 54, 63
113, 97, 102, 57, 23, 15
113, 97, 102, 127, 6, 2
113, 97, 102, 88, 104, 102
113, 97, 102, 74, 75, 78
79, 5, 4, 107, 15, 15
79, 5, 4, 120, 9, 8
129, 42, 38, 135, 17, 11
129, 42, 38, 47, 25, 17
129, 42, 38, 70, 81, 94
129, 42, 38, 142, 56, 44
129, 42, 38, 150, 49, 44
129, 42, 38, 50, 33, 27
129, 42, 38, 111, 56, 62
129, 42, 38, 95, 60, 68
129, 42, 38, 59, 94, 101
129, 42, 38, 19, 111, 134
129, 42, 38, 137, 54, 63
129, 42, 38, 74, 75, 78
129, 42, 38, 148, 38, 28
25, 13, 18, 48, 8, 10
25, 13, 18, 55, 15, 9
25, 13, 18, 65, 13, 9
25, 13, 18, 73, 13, 12
25, 13, 18, 22, 19, 14
25, 13, 18, 16, 9, 7
25, 13, 18, 104, 16, 16
25, 13, 18, 92, 23, 12
25, 13, 18, 3, 14, 15
25, 13, 18, 0, 22, 13
25, 13, 18, 110, 16, 11
128, 25, 20, 5, 38, 40
128, 25, 20, 73, 13, 12
128, 25, 20, 22, 19, 14
128, 25, 20, 16, 9, 7
128, 25, 20, 104, 16, 16
128, 25, 20, 81, 7, 3
128, 25, 20, 9, 10, 10
128, 25, 20, 112, 5, 1
128, 25, 20, 98, 25, 27
128, 25, 20, 96, 13, 10
55, 15, 9, 92, 23, 12
55, 15, 9, 0, 22, 13
107, 15, 15, 79, 5, 4
107, 15, 15, 128, 25, 20
107, 15, 15, 65, 13, 9
107, 15, 15, 87, 16, 19
107, 15, 15, 92, 23, 12
107, 15, 15, 3, 14, 15
107, 15, 15, 118, 5, 4
107, 15, 15, 110, 16, 11
107, 15, 15, 96, 13, 10
107, 15, 15, 106, 25, 16
28, 11, 8, 43, 32, 29
28, 11, 8, 12, 13, 16
28, 11, 8, 120, 9, 8
28, 11, 8, 147, 12, 19
28, 11, 8, 106, 25, 16
28, 11, 8, 1, 15, 13
43, 32, 29, 5, 38, 40
43, 32, 29, 32, 21, 23
43, 32, 29, 22, 19, 14
43, 32, 29, 16, 9, 7
43, 32, 29, 104, 16, 16
43, 32, 29, 92, 23, 12
43, 32, 29, 125, 33, 35
43, 32, 29, 130, 37, 41
43, 32, 29, 33, 28, 25
43, 32, 29, 123, 3, 9
43, 32, 29, 122, 23, 22
43, 32, 29, 147, 12, 19
43, 32, 29, 106, 25, 16
5, 38, 40, 25, 13, 18
5, 38, 40, 128, 25, 20
5, 38, 40, 43, 32, 29
5, 38, 40, 32, 21, 23
5, 38, 40, 73, 13, 12
5, 38, 40, 114, 17, 22
5, 38, 40, 16, 9, 7
5, 38, 40, 87, 16, 19
5, 38, 40, 125, 33, 35
5, 38, 40, 3, 14, 15
5, 38, 40, 130, 37, 41
5, 38, 40, 78, 4, 4
5, 38, 40, 98, 25, 27
5, 38, 40, 102, 37, 39
5, 38, 40, 49, 32, 33
5, 38, 40, 147, 12, 19
5, 38, 40, 106, 25, 16
47, 25, 17, 129, 42, 38
47, 25, 17, 95, 60, 68
47, 25, 17, 148, 38, 28
65, 13, 9, 81, 7, 3
65, 13, 9, 95, 60, 68
65, 13, 9, 110, 16, 11
32, 21, 23, 43, 32, 29
32, 21, 23, 5, 38, 40
32, 21, 23, 73, 13, 12
32, 21, 23, 22, 19, 14
32, 21, 23, 104, 16, 16
32, 21, 23, 87, 16, 19
32, 21, 23, 125, 33, 35
32, 21, 23, 120, 9, 8
32, 21, 23, 122, 23, 22
32, 21, 23, 106, 25, 16
149, 6, 5, 102, 37, 39
149, 6, 5, 49, 32, 33
149, 6, 5, 57, 23, 15
73, 13, 12, 8, 7, 19
73, 13, 12, 128, 25, 20
73, 13, 12, 32, 21, 23
73, 13, 12, 87, 16, 19
73, 13, 12, 95, 60, 68
73, 13, 12, 98, 25, 27
73, 13, 12, 0, 22, 13
73, 13, 12, 122, 23, 22
73, 13, 12, 96, 13, 10
22, 19, 14, 129, 42, 38
22, 19, 14, 43, 32, 29
22, 19, 14, 32, 21, 23
22, 19, 14, 87, 16, 19
22, 19, 14, 81, 7, 3
22, 19, 14, 58, 10, 4
22, 19, 14, 12, 13, 16
22, 19, 14, 3, 14, 15
22, 19, 14, 118, 5, 4
22, 19, 14, 96, 13, 10
22, 19, 14, 106, 25, 16
22, 19, 14, 88, 104, 102
22, 19, 14, 148, 38, 28
20, 4, 9, 28, 11, 8
20, 4, 9, 43, 32, 29
20, 4, 9, 42, 9, 8
20, 4, 9, 46, 6, 6
20, 4, 9, 12, 13, 16
20, 4, 9, 3, 14, 15
20, 4, 9, 130, 37, 41
20, 4, 9, 106, 25, 16
70, 81, 94, 113, 97, 102
70, 81, 94, 129, 42, 38
70, 81, 94, 43, 32, 29
70, 81, 94, 47, 25, 17
70, 81, 94, 142, 56, 44
70, 81, 94, 150, 49, 44
70, 81, 94, 27, 87, 85
70, 81, 94, 58, 10, 4
70, 81, 94, 50, 33, 27
70, 81, 94, 111, 56, 62
70, 81, 94, 95, 60, 68
70, 81, 94, 33, 28, 25
70, 81, 94, 59, 94, 101
70, 81, 94, 19, 111, 134
70, 81, 94, 0, 22, 13
70, 81, 94, 137, 54, 63
70, 81, 94, 57, 23, 15
70, 81, 94, 88, 104, 102
70, 81, 94, 74, 75, 78
70, 81, 94, 148, 38, 28
114, 17, 22, 5, 38, 40
114, 17, 22, 149, 6, 5
114, 17, 22, 102, 37, 39
114, 17, 22, 49, 32, 33
16, 9, 7, 25, 13, 18
16, 9, 7, 128, 25, 20
16, 9, 7, 73, 13, 12
16, 9, 7, 46, 6, 6
16, 9, 7, 58, 10, 4
16, 9, 7, 98, 25, 27
104, 16, 16, 79, 5, 4
104, 16, 16, 43, 32, 29
104, 16, 16, 22, 19, 14
104, 16, 16, 87, 16, 19
104, 16, 16, 46, 6, 6
104, 16, 16, 3, 14, 15
104, 16, 16, 41, 2, 8
104, 16, 16, 133, 3, 5
104, 16, 16, 147, 12, 19
104, 16, 16, 1, 15, 13
87, 16, 19, 129, 42, 38
87, 16, 19, 107, 15, 15
87, 16, 19, 43, 32, 29
87, 16, 19, 5, 38, 40
87, 16, 19, 32, 21, 23
87, 16, 19, 22, 19, 14
87, 16, 19, 104, 16, 16
87, 16, 19, 125, 33, 35
87, 16, 19, 12, 13, 16
87, 16, 19, 130, 37, 41
87, 16, 19, 122, 23, 22
87, 16, 19, 106, 25, 16
142, 56, 44, 135, 17, 11
142, 56, 44, 113, 97, 102
142, 56, 44, 47, 25, 17
142, 56, 44, 70, 81, 94
142, 56, 44, 150, 49, 44
142, 56, 44, 27, 87, 85
142, 56, 44, 58, 10, 4
142, 56, 44, 50, 33, 27
142, 56, 44, 111, 56, 62
142, 56, 44, 95, 60, 68
142, 56, 44, 59, 94, 101
142, 56, 44, 19, 111, 134
142, 56, 44, 57, 23, 15
142, 56, 44, 88, 104, 102
142, 56, 44, 74, 75, 78
142, 56, 44, 148, 38, 28
81, 7, 3, 8, 7, 19
81, 7, 3, 42, 9, 8
81, 7, 3, 41, 2, 8
10, 2, 2, 45, 3, 3
150, 49, 44, 135, 17, 11
150, 49, 44, 113, 97, 102
150, 49, 44, 70, 81, 94
150, 49, 44, 142, 56, 44
150, 49, 44, 27, 87, 85
150, 49, 44, 58, 10, 4
150, 49, 44, 50, 33, 27
150, 49, 44, 111, 56, 62
150, 49, 44, 95, 60, 68
150, 49, 44, 59, 94, 101
150, 49, 44, 19, 111, 134
150, 49, 44, 137, 54, 63
150, 49, 44, 88, 104, 102
150, 49, 44, 74, 75, 78
150, 49, 44, 148, 38, 28
27, 87, 85, 135, 17, 11
27, 87, 85, 8, 7, 19
27, 87, 85, 113, 97, 102
27, 87, 85, 70, 81, 94
27, 87, 85, 142, 56, 44
27, 87, 85, 150, 49, 44
27, 87, 85, 50, 33, 27
27, 87, 85, 111, 56, 62
27, 87, 85, 95, 60, 68
27, 87, 85, 33, 28, 25
27, 87, 85, 59, 94, 101
27, 87, 85, 19, 111, 134
27, 87, 85, 137, 54, 63
27, 87, 85, 57, 23, 15
27, 87, 85, 88, 104, 102
27, 87, 85, 74, 75, 78
92, 23, 12, 55, 15, 9
92, 23, 12, 5, 38, 40
92, 23, 12, 104, 16, 16
92, 23, 12, 87, 16, 19
92, 23, 12, 95, 60, 68
92, 23, 12, 0, 22, 13
42, 9, 8, 128, 25, 20
42, 9, 8, 55, 15, 9
42, 9, 8, 5, 38, 40
42, 9, 8, 65, 13, 9
42, 9, 8, 149, 6, 5
42, 9, 8, 125, 33, 35
42, 9, 8, 130, 37, 41
42, 9, 8, 110, 16, 11
77, 2, 3, 87, 16, 19
77, 2, 3, 12, 13, 16
77, 2, 3, 106, 25, 16
18, 11, 21, 151, 1, 0.0
18, 11, 21, 66, 10, 13
18, 11, 21, 93, 3, 3
18, 11, 21, 55, 15, 9
18, 11, 21, 92, 23, 12
18, 11, 21, 0, 22, 13
9, 10, 10, 28, 11, 8
9, 10, 10, 92, 23, 12
9, 10, 10, 1, 15, 13
46, 6, 6, 104, 16, 16
46, 6, 6, 58, 10, 4
46, 6, 6, 133, 3, 5
46, 6, 6, 96, 13, 10
58, 10, 4, 111, 56, 62
58, 10, 4, 88, 104, 102
58, 10, 4, 148, 38, 28
125, 33, 35, 25, 13, 18
125, 33, 35, 43, 32, 29
125, 33, 35, 5, 38, 40
125, 33, 35, 32, 21, 23
125, 33, 35, 73, 13, 12
125, 33, 35, 16, 9, 7
125, 33, 35, 3, 14, 15
125, 33, 35, 130, 37, 41
125, 33, 35, 78, 4, 4
125, 33, 35, 98, 25, 27
125, 33, 35, 0, 22, 13
125, 33, 35, 147, 12, 19
125, 33, 35, 106, 25, 16
86, 4, 3, 133, 3, 5
86, 4, 3, 49, 32, 33
86, 4, 3, 96, 13, 10
112, 5, 1, 148, 38, 28
50, 33, 27, 129, 42, 38
50, 33, 27, 22, 19, 14
50, 33, 27, 70, 81, 94
50, 33, 27, 142, 56, 44
50, 33, 27, 27, 87, 85
50, 33, 27, 12, 13, 16
50, 33, 27, 111, 56, 62
50, 33, 27, 95, 60, 68
50, 33, 27, 19, 111, 134
50, 33, 27, 88, 104, 102
50, 33, 27, 74, 75, 78
50, 33, 27, 148, 38, 28
12, 13, 16, 48, 8, 10
12, 13, 16, 25, 13, 18
12, 13, 16, 28, 11, 8
12, 13, 16, 73, 13, 12
12, 13, 16, 22, 19, 14
12, 13, 16, 20, 4, 9
12, 13, 16, 16, 9, 7
12, 13, 16, 87, 16, 19
12, 13, 16, 42, 9, 8
12, 13, 16, 77, 2, 3
12, 13, 16, 50, 33, 27
12, 13, 16, 95, 60, 68
12, 13, 16, 78, 4, 4
12, 13, 16, 147, 12, 19
111, 56, 62, 135, 17, 11
111, 56, 62, 113, 97, 102
111, 56, 62, 129, 42, 38
111, 56, 62, 47, 25, 17
111, 56, 62, 70, 81, 94
111, 56, 62, 142, 56, 44
111, 56, 62, 150, 49, 44
111, 56, 62, 27, 87, 85
111, 56, 62, 50, 33, 27
111, 56, 62, 95, 60, 68
111, 56, 62, 59, 94, 101
111, 56, 62, 19, 111, 134
111, 56, 62, 137, 54, 63
111, 56, 62, 127, 6, 2
111, 56, 62, 88, 104, 102
111, 56, 62, 74, 75, 78
111, 56, 62, 148, 38, 28
95, 60, 68, 113, 97, 102
95, 60, 68, 129, 42, 38
95, 60, 68, 47, 25, 17
95, 60, 68, 65, 13, 9
95, 60, 68, 73, 13, 12
95, 60, 68, 70, 81, 94
95, 60, 68, 142, 56, 44
95, 60, 68, 150, 49, 44
95, 60, 68, 27, 87, 85
95, 60, 68, 92, 23, 12
95, 60, 68, 50, 33, 27
95, 60, 68, 111, 56, 62
95, 60, 68, 33, 28, 25
95, 60, 68, 19, 111, 134
95, 60, 68, 137, 54, 63
95, 60, 68, 57, 23, 15
95, 60, 68, 118, 5, 4
95, 60, 68, 110, 16, 11
95, 60, 68, 88, 104, 102
95, 60, 68, 74, 75, 78
95, 60, 68, 148, 38, 28
3, 14, 15, 91, 1, 0.0
3, 14, 15, 25, 13, 18
3, 14, 15, 107, 15, 15
3, 14, 15, 5, 38, 40
3, 14, 15, 65, 13, 9
3, 14, 15, 20, 4, 9
3, 14, 15, 87, 16, 19
3, 14, 15, 92, 23, 12
3, 14, 15, 46, 6, 6
3, 14, 15, 115, 3, 4
3, 14, 15, 98, 25, 27
3, 14, 15, 110, 16, 11
3, 14, 15, 96, 13, 10
41, 2, 8, 8, 7, 19
41, 2, 8, 128, 25, 20
41, 2, 8, 125, 33, 35
41, 2, 8, 130, 37, 41
41, 2, 8, 115, 3, 4
41, 2, 8, 98, 25, 27
41, 2, 8, 0, 22, 13
133, 3, 5, 107, 15, 15
133, 3, 5, 22, 19, 14
133, 3, 5, 86, 4, 3
133, 3, 5, 115, 3, 4
133, 3, 5, 49, 32, 33
130, 37, 41, 25, 13, 18
130, 37, 41, 43, 32, 29
130, 37, 41, 5, 38, 40
130, 37, 41, 73, 13, 12
130, 37, 41, 16, 9, 7
130, 37, 41, 125, 33, 35
130, 37, 41, 98, 25, 27
130, 37, 41, 0, 22, 13
130, 37, 41, 147, 12, 19
130, 37, 41, 106, 25, 16
115, 3, 4, 16, 9, 7
115, 3, 4, 104, 16, 16
115, 3, 4, 12, 13, 16
120, 9, 8, 113, 97, 102
120, 9, 8, 79, 5, 4
120, 9, 8, 28, 11, 8
120, 9, 8, 123, 3, 9
120, 9, 8, 110, 16, 11
120, 9, 8, 1, 15, 13
78, 4, 4, 25, 13, 18
78, 4, 4, 28, 11, 8
78, 4, 4, 22, 19, 14
78, 4, 4, 120, 9, 8
33, 28, 25, 66, 10, 13
33, 28, 25, 93, 3, 3
33, 28, 25, 113, 97, 102
33, 28, 25, 70, 81, 94
33, 28, 25, 81, 7, 3
33, 28, 25, 27, 87, 85
33, 28, 25, 12, 13, 16
33, 28, 25, 59, 94, 101
33, 28, 25, 19, 111, 134
33, 28, 25, 137, 54, 63
33, 28, 25, 57, 23, 15
33, 28, 25, 127, 6, 2
33, 28, 25, 88, 104, 102
33, 28, 25, 74, 75, 78
59, 94, 101, 135, 17, 11
59, 94, 101, 113, 97, 102
59, 94, 101, 129, 42, 38
59, 94, 101, 43, 32, 29
59, 94, 101, 47, 25, 17
59, 94, 101, 70, 81, 94
59, 94, 101, 142, 56, 44
59, 94, 101, 150, 49, 44
59, 94, 101, 27, 87, 85
59, 94, 101, 58, 10, 4
59, 94, 101, 112, 5, 1
59, 94, 101, 50, 33, 27
59, 94, 101, 111, 56, 62
59, 94, 101, 95, 60, 68
59, 94, 101, 33, 28, 25
59, 94, 101, 19, 111, 134
59, 94, 101, 137, 54, 63
59, 94, 101, 88, 104, 102
59, 94, 101, 74, 75, 78
98, 25, 27, 128, 25, 20
98, 25, 27, 65, 13, 9
98, 25, 27, 73, 13, 12
98, 25, 27, 22, 19, 14
98, 25, 27, 16, 9, 7
98, 25, 27, 104, 16, 16
98, 25, 27, 81, 7, 3
98, 25, 27, 42, 9, 8
98, 25, 27, 112, 5, 1
98, 25, 27, 0, 22, 13
98, 25, 27, 110, 16, 11
98, 25, 27, 96, 13, 10
102, 37, 39, 128, 25, 20
102, 37, 39, 5, 38, 40
102, 37, 39, 149, 6, 5
102, 37, 39, 114, 17, 22
102, 37, 39, 9, 10, 10
102, 37, 39, 98, 25, 27
102, 37, 39, 49, 32, 33
102, 37, 39, 1, 15, 13
19, 111, 134, 135, 17, 11
19, 111, 134, 113, 97, 102
19, 111, 134, 129, 42, 38
19, 111, 134, 43, 32, 29
19, 111, 134, 47, 25, 17
19, 111, 134, 70, 81, 94
19, 111, 134, 142, 56, 44
19, 111, 134, 150, 49, 44
19, 111, 134, 27, 87, 85
19, 111, 134, 58, 10, 4
19, 111, 134, 112, 5, 1
19, 111, 134, 50, 33, 27
19, 111, 134, 111, 56, 62
19, 111, 134, 95, 60, 68
19, 111, 134, 33, 28, 25
19, 111, 134, 59, 94, 101
19, 111, 134, 0, 22, 13
19, 111, 134, 137, 54, 63
19, 111, 134, 57, 23, 15
19, 111, 134, 88, 104, 102
19, 111, 134, 74, 75, 78
19, 111, 134, 148, 38, 28
0, 22, 13, 8, 7, 19
0, 22, 13, 55, 15, 9
0, 22, 13, 92, 23, 12
0, 22, 13, 42, 9, 8
0, 22, 13, 3, 14, 15
0, 22, 13, 110, 16, 11
123, 3, 9, 128, 25, 20
123, 3, 9, 107, 15, 15
123, 3, 9, 43, 32, 29
123, 3, 9, 32, 21, 23
123, 3, 9, 120, 9, 8
123, 3, 9, 0, 22, 13
123, 3, 9, 122, 23, 22
123, 3, 9, 106, 25, 16
137, 54, 63, 113, 97, 102
137, 54, 63, 129, 42, 38
137, 54, 63, 47, 25, 17
137, 54, 63, 70, 81, 94
137, 54, 63, 142, 56, 44
137, 54, 63, 150, 49, 44
137, 54, 63, 27, 87, 85
137, 54, 63, 111, 56, 62
137, 54, 63, 95, 60, 68
137, 54, 63, 33, 28, 25
137, 54, 63, 59, 94, 101
137, 54, 63, 19, 111, 134
137, 54, 63, 57, 23, 15
137, 54, 63, 127, 6, 2
137, 54, 63, 88, 104, 102
137, 54, 63, 74, 75, 78
49, 32, 33, 128, 25, 20
49, 32, 33, 5, 38, 40
49, 32, 33, 149, 6, 5
49, 32, 33, 114, 17, 22
49, 32, 33, 9, 10, 10
49, 32, 33, 86, 4, 3
49, 32, 33, 98, 25, 27
49, 32, 33, 102, 37, 39
49, 32, 33, 1, 15, 13
45, 3, 3, 28, 11, 8
45, 3, 3, 10, 2, 2
57, 23, 15, 135, 17, 11
57, 23, 15, 113, 97, 102
57, 23, 15, 27, 87, 85
57, 23, 15, 95, 60, 68
57, 23, 15, 33, 28, 25
57, 23, 15, 59, 94, 101
57, 23, 15, 137, 54, 63
57, 23, 15, 88, 104, 102
118, 5, 4, 28, 11, 8
118, 5, 4, 42, 9, 8
118, 5, 4, 3, 14, 15
118, 5, 4, 110, 16, 11
122, 23, 22, 43, 32, 29
122, 23, 22, 5, 38, 40
122, 23, 22, 32, 21, 23
122, 23, 22, 73, 13, 12
122, 23, 22, 22, 19, 14
122, 23, 22, 20, 4, 9
122, 23, 22, 104, 16, 16
122, 23, 22, 87, 16, 19
122, 23, 22, 125, 33, 35
122, 23, 22, 33, 28, 25
122, 23, 22, 106, 25, 16
110, 16, 11, 107, 15, 15
110, 16, 11, 65, 13, 9
110, 16, 11, 81, 7, 3
110, 16, 11, 95, 60, 68
110, 16, 11, 123, 3, 9
127, 6, 2, 112, 5, 1
127, 6, 2, 33, 28, 25
96, 13, 10, 107, 15, 15
96, 13, 10, 104, 16, 16
96, 13, 10, 77, 2, 3
96, 13, 10, 12, 13, 16
96, 13, 10, 3, 14, 15
147, 12, 19, 28, 11, 8
147, 12, 19, 43, 32, 29
147, 12, 19, 5, 38, 40
147, 12, 19, 32, 21, 23
147, 12, 19, 22, 19, 14
147, 12, 19, 104, 16, 16
147, 12, 19, 58, 10, 4
147, 12, 19, 125, 33, 35
147, 12, 19, 130, 37, 41
147, 12, 19, 122, 23, 22
147, 12, 19, 106, 25, 16
106, 25, 16, 43, 32, 29
106, 25, 16, 32, 21, 23
106, 25, 16, 22, 19, 14
106, 25, 16, 20, 4, 9
106, 25, 16, 87, 16, 19
106, 25, 16, 125, 33, 35
106, 25, 16, 130, 37, 41
106, 25, 16, 33, 28, 25
106, 25, 16, 122, 23, 22
88, 104, 102, 135, 17, 11
88, 104, 102, 93, 3, 3
88, 104, 102, 8, 7, 19
88, 104, 102, 113, 97, 102
88, 104, 102, 129, 42, 38
88, 104, 102, 47, 25, 17
88, 104, 102, 70, 81, 94
88, 104, 102, 142, 56, 44
88, 104, 102, 150, 49, 44
88, 104, 102, 27, 87, 85
88, 104, 102, 50, 33, 27
88, 104, 102, 111, 56, 62
88, 104, 102, 95, 60, 68
88, 104, 102, 33, 28, 25
88, 104, 102, 59, 94, 101
88, 104, 102, 19, 111, 134
88, 104, 102, 137, 54, 63
88, 104, 102, 57, 23, 15
88, 104, 102, 127, 6, 2
88, 104, 102, 74, 75, 78
1, 15, 13, 28, 11, 8
1, 15, 13, 9, 10, 10
1, 15, 13, 12, 13, 16
1, 15, 13, 120, 9, 8
1, 15, 13, 118, 5, 4
74, 75, 78, 135, 17, 11
74, 75, 78, 113, 97, 102
74, 75, 78, 129, 42, 38
74, 75, 78, 70, 81, 94
74, 75, 78, 142, 56, 44
74, 75, 78, 150, 49, 44
74, 75, 78, 27, 87, 85
74, 75, 78, 50, 33, 27
74, 75, 78, 111, 56, 62
74, 75, 78, 95, 60, 68
74, 75, 78, 33, 28, 25
74, 75, 78, 59, 94, 101
74, 75, 78, 19, 111, 134
74, 75, 78, 0, 22, 13
74, 75, 78, 137, 54, 63
74, 75, 78, 57, 23, 15
74, 75, 78, 127, 6, 2
74, 75, 78, 88, 104, 102
74, 75, 78, 148, 38, 28
148, 38, 28, 129, 42, 38
148, 38, 28, 47, 25, 17
148, 38, 28, 70, 81, 94
148, 38, 28, 142, 56, 44
148, 38, 28, 150, 49, 44
148, 38, 28, 12, 13, 16
148, 38, 28, 95, 60, 68
148, 38, 28, 3, 14, 15
148, 38, 28, 137, 54, 63
148, 38, 28, 88, 104, 102
